issued_date,target_date_t1,target_date_t2,target_date_t3,H_current,H_pred_t1,H_pred_t2,H_pred_t3,delta_t1,risk_level
2026-06-11,2026-06-12,2026-06-13,2026-06-14,0.361,0.3607,0.3605,0.3602,-0.0003,NORMAL
2026-06-11,2026-06-12,2026-06-13,2026-06-14,0.361,0.3607,0.3605,0.3602,-0.0003,NORMAL
2026-06-11,2026-06-12,2026-06-13,2026-06-14,0.402,0.4001,0.3993,0.3987,-0.0019,NORMAL
2026-06-12,2026-06-13,2026-06-14,2026-06-15,0.421,0.4267,0.4318,0.4369,0.0057,NORMAL
2026-06-13,2026-06-14,2026-06-15,2026-06-16,0.539,0.5249,0.5136,0.5026,-0.0141,NORMAL
2026-06-13,2026-06-14,2026-06-15,2026-06-16,0.517,0.5035,0.4928,0.4823,-0.0135,NORMAL
2026-06-13,2026-06-14,2026-06-15,2026-06-16,0.517,0.5035,0.4928,0.4823,-0.0135,NORMAL
2026-06-14,2026-06-15,2026-06-16,2026-06-17,0.479,0.4687,0.4612,0.4538,-0.0103,NORMAL
2026-06-14,2026-06-15,2026-06-16,2026-06-17,0.479,0.4687,0.4612,0.4538,-0.0103,NORMAL
2026-06-15,2026-06-16,2026-06-17,2026-06-18,0.459,0.4505,0.4442,0.4383,-0.0085,NORMAL
2026-06-15,2026-06-16,2026-06-17,2026-06-18,0.459,0.4505,0.4442,0.4383,-0.0085,NORMAL
