date,H_obs,H_forecast_t1,H_forecast_t2,H_forecast_t3,error_t1,abs_error_t1,direction_correct,H_persistence,error_persistence,n_obs_records
2026-05-28,0.3949,,,,,,,,,187
2026-05-29,0.3995,,,,,,,0.3949,-0.0046,288
2026-05-30,0.5264,,,,,,,0.3995,-0.1269,288
2026-05-31,0.5333,,,,,,,0.5264,-0.0069,288
2026-06-01,0.4616,,,,,,,0.5333,0.0717,288
2026-06-02,0.448,,,,,,,0.4616,0.0136,288
2026-06-03,0.4567,,,,,,,0.448,-0.0087,288
2026-06-04,0.4441,,,,,,,0.4567,0.0126,288
2026-06-05,0.4874,,,,,,,0.4441,-0.0433,288
2026-06-06,0.4908,,,,,,,0.4874,-0.0034,288
2026-06-07,0.4618,,,,,,,0.4908,0.029,284
2026-06-08,0.4264,,,,,,,0.4618,0.0354,288
2026-06-09,0.4218,,,,,,,0.4264,0.0046,288
2026-06-10,0.4129,,,,,,,0.4218,0.0089,288
2026-06-11,0.403,,,,,,,0.4129,0.0099,99
2026-06-12,0.4129,0.3607,,,-0.0522,0.0522,0.0,0.4031,-0.0098,145
