station_no,name,river,score,grade,issues,flags,H_latest,last_update,completeness_7d,flatline_hrs,spike_count,age_hours
5804,ANGLEUR GR BAT. Av,Ourthe inférieure,0.0,F,NO_DATA,SENSOR_OFFLINE,,,0.0,0,0,999.0
5284,GEMMENICH,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
5596,AWANS,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
5578,WAREMME,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
5757,LANAYE,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
6497,TERNELL,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
6529,MONT-RIGI,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
5649,BATTICE,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
6550,JALHAY,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
6657,LOUVEIGNE,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
6712,COO INF.,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
6718,COO SUP.,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
6958,ROBERTVILLE,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
6967,BUTGENBACH,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
7003,SART-TILMAN,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
6538,SPA aerodrome,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
9915,STEFFESHAUSEN,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
9922,SANKT-VITH,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
5451,VISE,Basse Meuse,50.0,C,NO_H_DATA_has_Q,NO_H_PARAMETER,,,0.0,0,0,999.0
5771,HACCOURT,Canal Albert,50.0,C,NO_H_DATA_has_Q,NO_H_PARAMETER,,,0.0,0,0,999.0
7132,AMAY,Meuse moyenne,50.0,C,NO_H_DATA_has_Q,NO_H_PARAMETER,,,0.0,0,0,999.0
7102,LIEGE,Meuse moyenne,50.0,C,NO_H_DATA_has_H,NO_H_PARAMETER,,,0.0,0,0,999.0
5808,ANGLEUR (2 BIS),Ourthe inférieure,50.0,C,NO_H_DATA_has_Q,NO_H_PARAMETER,,,0.0,0,0,999.0
7016,OUFFET,,50.0,C,NO_H_DATA_has_Precip,NO_H_PARAMETER,,,0.0,0,0,999.0
6526,BELLEHEID,Hoegne,70.0,C,FLATLINE_51h,SENSOR_FLATLINE,0.59,2026-06-13 16:05,100.0,51,0,0.3
9926,SCHOENBERG,Our,80.0,B,FLAT_26h|QC_FLAGS_17,QUALITY_FLAGS,0.918,2026-06-13 16:05,99.5,26,0,0.3
L6240,Lorcé,Lienne,80.0,B,FLAT_18h|QC_FLAGS_19,QUALITY_FLAGS,0.327,2026-06-13 16:00,100.0,18,0,0.4
L7511,Val-dieu,Berwinne,80.0,B,FLAT_15h|QC_FLAGS_11,QUALITY_FLAGS,0.428,2026-06-13 16:00,100.0,15,0,0.4
L7500,Limont,Yerne,80.0,B,FLAT_44h|QC_FLAGS_24,QUALITY_FLAGS,0.143,2026-06-13 16:00,100.0,44,0,0.4
L6461,Marneffe,Burdinale,90.0,A,FLAT_20h,,0.192,2026-06-13 16:00,100.0,20,0,0.4
6971,WIRTZFELD,Holzwarche,90.0,A,FLAT_21h,,0.664,2026-06-13 16:05,100.0,21,0,0.3
5291,KELMIS (LA CALAMINE),Gueule,90.0,A,FLAT_14h,,0.299,2026-06-13 16:05,100.0,14,0,0.3
9914,REULAND,Our,90.0,A,FLAT_25h,,0.914,2026-06-13 16:05,100.0,25,0,0.3
7242,MOHA,Mehaigne,90.0,A,FLAT_15h,,0.565,2026-06-13 16:05,100.0,15,0,0.3
L5630,Hamoir,Néblon,90.0,A,FLAT_15h,,0.326,2026-06-13 16:00,100.0,15,0,0.4
L6470,Ambresin,Mehaigne,90.0,A,QC_FLAGS_23,QUALITY_FLAGS,0.338,2026-06-13 15:40,100.0,9,0,0.8
6804,CHEVRON Pont,Lienne,90.0,A,FLAT_18h,,0.323,2026-06-13 16:05,100.0,18,0,0.3
7228,MODAVE,Hoyoux,90.0,A,FLAT_38h,,0.315,2026-06-13 16:05,100.0,38,0,0.3
6517,POLLEUR,Hoegne,90.0,A,FLAT_26h,,0.829,2026-06-13 16:05,100.0,26,0,0.3
5572,BERGILERS Amont,Geer,90.0,A,FLAT_36h,,0.62,2026-06-13 16:05,100.0,36,0,0.3
5826,SAUHEID,Ourthe inférieure,90.0,A,FLAT_19h,,0.517,2026-06-13 16:05,100.0,19,0,0.3
L6300,Vieuxville,Ruisseau de Lembrée,90.0,A,FLAT_20h,,0.301,2026-06-13 16:00,100.0,20,0,0.4
L8100,Meeffe,Rhée,90.0,A,FLAT_20h,,0.152,2026-06-13 16:00,100.0,20,0,0.4
L6900,Awirs,Ruisseau des Awirs,90.0,A,QC_FLAGS_20,QUALITY_FLAGS,0.388,2026-06-13 16:00,100.0,10,0,0.4
6753,LASNENVILLE,Amblève,90.0,A,QC_FLAGS_225,QUALITY_FLAGS,1.198,2026-06-13 16:05,90.3,4,0,0.3
L6770,Dalhem,Bolland,90.0,A,QC_FLAGS_30,QUALITY_FLAGS,0.164,2026-06-13 16:00,100.0,11,0,0.4
L7290,Trou de Bra,Lienne,90.0,A,QC_FLAGS_15,QUALITY_FLAGS,0.367,2026-06-13 15:00,99.5,12,0,1.4
L5990,Marchin,Hoyoux,90.0,A,FLAT_19h,,0.532,2026-06-13 16:00,100.0,19,0,0.4
L5580,Thioux,Warche,90.0,A,QC_FLAGS_13,QUALITY_FLAGS,0.511,2026-06-13 16:00,99.5,8,0,0.4
