feature,shap_value,feature_val
Q,0.0057064409639432925,17.759944444444443
H_chaudf_lag1,0.004740777628153948,0.539
H_delta1d,0.0019575719751250375,0.0
H,0.0016403064461963856,0.361
P_fagnes_lag1,0.0014349232771368337,14.4
H_comblain,0.001366703007791579,0.288
P_vesdre_lag1,0.001341648423774931,8.9
Q_lag1,0.0012024720727624241,10.679
P_fagnes_7d,0.0010313431552965379,3.02
P_ourthe_lag2,0.0006983407127351731,1.2
H_lag1,0.0006896024149114542,0.361
H_delta3d,0.000556444470847209,-0.02200000000000002
P_fagnes_14d,0.0003406376237916274,3.02
P_ourthe_7d,0.0003231499340653962,4.06
P_ourthe_14d,0.00030178462838478153,4.06
P_vesdre_7d,0.0002724301317831715,2.7800000000000002
P_basin_7d,0.00025873102000018445,9.86
P_basin_3d,0.0002394749698395561,0.47000000000000003
H_chaudf,0.00021543345108587903,0.54
Q_chaudf,0.00017583930849711976,4.948958333333334
P_fagnes_lag2,0.00016851079483109653,2.9
P_vesdre_14d,0.00015511238754473483,2.7800000000000002
P_basin_14d,0.00013754314758856413,9.86
H_lag5,0.00010345270331505677,0.417
P_ourthe_lag1,9.483538899636577e-05,8.7
P_fagnes_3d,7.911344326908421e-05,0.07
H_chaudf_lag0,7.518745426604497e-05,0.54
H_eupen_lag1,6.684976405254394e-05,0.722
H_troisponts,5.313515397071789e-05,0.211
H_chaudf_lag2,3.942707805037058e-05,0.544
P_ourthe_lag3,3.752097515841274e-05,0.2
P_vesdre_lag3,2.834755796579116e-05,0.0
P_fagnes_lag3,1.5798381908618354e-05,0.0
P_ourthe_3d,1.1558404076923565e-05,0.38
sin_doy,-2.376860559742158e-05,0.3953117887649151
H_eupen_lag2,-2.4820503440486676e-05,0.726
H_lag2,-3.596671502454551e-05,0.366
month,-3.6502645202617736e-05,6.0
Q_lag3,-5.345194427429975e-05,14.728
P_vesdre_3d,-7.064964765104882e-05,0.02
Q_lag2,-8.16477258072019e-05,11.966
H_eupen,-9.998136576546662e-05,0.726
H_eupen_lag0,-0.00010278480530054102,0.726
H_lag3,-0.00010408646412880362,0.383
H_lag7,-0.0001378030086374558,0.409
H_stavelot,-0.00017027935043722596,0.837
H_huy,-0.0001993198712195176,1.255
doy,-0.00032096810179306295,159.0
P_vesdre_lag2,-0.00042231862437953465,3.6
cos_doy,-0.0004875269654111764,-0.9185469991587165
P_ourthe,-0.0021006599099000914,0.0
P_ourthe_lag0,-0.002669983384404297,0.0
P_vesdre,-0.0035852522430961193,0.0
P_vesdre_lag0,-0.0037486730804732397,0.0
P_fagnes,-0.006214619353052679,0.0
P_fagnes_lag0,-0.006216174891610141,0.0
