feature,shap_value,feature_value
H_stavelot_dH12h,0.04722889702271084,0.32299999999999995
H_comblain_dH1h,-0.01504172206636361,0.014
H_troisponts_lag6h,-0.010851758147448003,0.239
H_comblain_dH3h,0.005135469061536957,0.026
H_stavelot_dH6h,0.005116178787710534,0.214
H_troisponts,-0.001833008727103593,0.281
H_stavelot_dH3h,0.0011423290098788686,0.162
H_troisponts_lag3h,-0.000869626710422085,0.272
H_eupen_lag48h,-0.0008458142313034448,0.7
H_chaudf_lag3h,-0.0007665664603510879,0.733
H_eupen_dH6h,0.0007327134213292382,0.022
Q_sauheid_lag3h,0.0006956990880990868,14.763
H_stavelot_lag6h,-0.0006833946517955104,1.002
H_stavelot_lag3h,-0.0005442493066282882,1.061
cos_doy,-0.0005356565846442405,-0.9435531242349544
H_chaudf_lag1h,-0.000529694320824153,0.746
H_chaudf,-0.0005215621576911872,0.742
cos_hour,0.0005195261324964037,-0.8660254037844388
H_troisponts_lag12h,0.00047303445359304344,0.227
H_troisponts_lag9h,-0.0003972557365297382,0.23
H_eupen_dH3h,0.0003792009575568418,0.016
H_comblain_dH6h,-0.0003775542973006113,0.032
month,-0.00036654693092934445,6.0
H_eupen,-0.0003299754524293372,0.739
H_chaudf_lag6h,-0.00032598058005218816,0.665
H_stavelot_lag18h,0.00030819823341879144,0.844
H_chaudf_lag2h,-0.00026291091577068383,0.753
H_eupen_lag36h,-0.00025190698272988606,0.695
H_sauheid_lag24h,0.00023455822624877457,0.404
H_comblain_lag6h,0.00022859598882369909,0.372
H_sauheid_dH6h,0.00021652583023588654,0.008
H_comblain_dH12h,-0.00018190943843327732,0.049000000000000044
H_stavelot_dH1h,0.00017478072815597744,0.06
sin_hour,-0.00015552940046928657,-0.4999999999999997
H_sauheid_dH1h,-0.00015144968167518652,0.001
H_sauheid,0.00014252476370696062,0.421
H_eupen_lag24h,-0.00012373376759164628,0.701
H_eupen_lag6h,-0.00012350826152789673,0.722
H_sauheid_lag12h,0.00010870114846385864,0.408
H_comblain_lag3h,0.00010783491737573634,0.377
hour,0.00010567060918431135,14.0
H_eupen_dH12h,9.531165409106965e-05,0.03200000000000003
H_stavelot_lag12h,-9.448668301819784e-05,0.884
H_comblain_lag9h,8.841802143179807e-05,0.364
H_eupen_lag18h,-8.69895840093633e-05,0.694
H_sauheid_dH3h,8.077018002361655e-05,0.005
H_sauheid_lag2h,6.570025092641972e-05,0.418
H_eupen_dH1h,6.432088296860067e-05,0.0
H_sauheid_lag3h,5.3383216635894845e-05,0.417
H_comblain,-3.5562219232354604e-05,0.401
H_sauheid_lag1h,3.325468268290101e-05,0.421
H_stavelot,-3.157790232070567e-05,1.21
H_eupen_lag12h,-3.067468830300752e-05,0.708
Q_chaudf_lag3h,-2.7570534270302663e-05,8.998
H_comblain_lag1h,-2.5803704439954238e-05,0.394
H_comblain_lag2h,2.1668137537180304e-05,0.384
H_stavelot_lag24h,2.044292985160987e-05,0.848
H_stavelot_lag9h,1.091368498911175e-05,0.962
sin_doy,8.98501806400186e-06,0.3312212278016865
Q_sauheid,8.946647429768968e-06,15.132
Q_sauheid_lag2h,8.219912716059988e-06,14.855
H_sauheid_lag6h,-6.8710490012813015e-06,0.414
H_sauheid_dH12h,-5.360498034758321e-06,0.01200000000000001
Q_sauheid_lag1h,3.2563273656644653e-06,15.132
Q_sauheid_lag6h,-1.7176386634054804e-06,14.491
Q_chaudf_lag6h,-6.00971665649483e-07,6.838
Q_chaudf_lag2h,-5.214845725505106e-07,9.686
P_ourthe_1h,7.312408835834164e-08,0.0
Q_chaudf,-5.12242772611598e-08,9.305
Q_chaudf_lag1h,-3.2946015043234405e-08,9.442
P_vesdre_1h,-2.5838831548034274e-08,0.02
P_vesdre,-1.9791022029710318e-08,
P_fagnes,-1.8162233742266518e-08,
P_ourthe,-1.7086428584424096e-08,
H_robertville_lag12h,0.0,
H_robertville_lag18h,0.0,
H_robertville_lag6h,0.0,
H_robertville,0.0,
P_ourthe_max12h,0.0,0.02
P_ourthe_max6h,0.0,0.01
P_ourthe_72h,0.0,1.42
P_ourthe_3h,0.0,0.0
P_ourthe_2h,0.0,0.0
P_fagnes_max12h,0.0,0.04
P_fagnes_max6h,0.0,0.03
P_fagnes_72h,0.0,3.27
P_fagnes_24h,0.0,2.92
P_fagnes_48h,0.0,3.09
P_fagnes_12h,0.0,1.85
P_fagnes_6h,0.0,0.76
P_fagnes_2h,0.0,0.1
P_fagnes_3h,0.0,0.22
P_fagnes_1h,0.0,0.02
P_ourthe_48h,0.0,1.18
P_ourthe_24h,0.0,1.17
P_ourthe_12h,0.0,0.44
P_ourthe_6h,0.0,0.07
P_vesdre_max12h,0.0,0.03
P_vesdre_2h,0.0,0.08
P_vesdre_max6h,0.0,0.03
P_vesdre_3h,0.0,0.17
P_vesdre_6h,0.0,0.61
P_vesdre_12h,0.0,1.53
P_vesdre_24h,0.0,2.81
P_vesdre_48h,0.0,3.11
P_vesdre_72h,0.0,3.2800000000000002
