ts_id,timestamp,req_timestamp,ts_value,station_local_x,station_local_y,station_id,site_name,station_name,station_no,ts_name,ts_shortname,site_no,stationparameter_name,stationparameter_no,ts_unitsymbol,parametertype_name,object_type_shortname,ts_path,river_name,station_diary,ADMINISTRATEUR,CATCHMENT_SIZE,ISIN_COMMUNE,station_gauge_datum,station_gauge_datum_unit,station_status_remark,station_gauge_datum_postfix,SITE_NUMBER_SQL,AD_WITH_THRESHOLD,RESEAUX,ngr_letter,BASSIN_INFOCRUE_NO,DISTHYDRO,admin_level,COD_HYDROGRAPHE,river_code,STATION_NUMBER_SQL,region_district,STATEL,station_gauge_datum_from,WTO_OBJECT,station_status,river_key,station_diary_status,PAYS,GAUGE_DATUM,REGION,BASSIN_INFOCRUE,TYPE_STATION,BASSIN_GESTION_TEXT,PROVINCE,river_id,ObjectDescription,admin_name,BV_DCE,BASSIN_GESTION_WEB,CATEGORIE_COURS_DEAU,STA_PUBINT,hydrounit_name,CODE_POSTAL,hydrounit_title,STABILITE_JAUGE,hydrounit_no,ISIN_LOCALITE,COMMUNE_LOCALITE,ADRESSE,NIVCRU,CENEXT_DCENN,CARTE_IGN,station_elevation,RIVER_SECTION_VNAV_STATION,river_longname
246052010,2026-06-05T10:35:00.000+02:00,,1.208,211378.0,134318.0,12360,Direction de la Gestion hydrologique,HUY,7141,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DGH,Hauteur,H,m,H,GN_STATION,DGH/7141/H/Cmd.Rel.Abs.Comp-Alarmes,Meuse moyenne,2017-01-05 00:00:00: <fin_feuille_limni><br>1999-02-05 00:00:00: <echX=0.2 cm/h><echY=1/10><limni=OTT X>,DGH,,Huy,68.0,DNG,<echX=0.25 cm/h><echY=1/10>,DNG,DGH,no,Direction de la Gestion hydrologique,-,33,District de la Meuse,District,Smiejkowski M.,,7141,---,yes,391305600000,Meuse moyenne,Active,,1982-05-27 00:00:00: Active,Belgique,68.0,WALLONIE,Meuse moyenne / 33,Limnimètre,Meuse moyenne (NA),LIEGE,1450469,"SITUATION 71411011
CONTRE LA CULEE DU PONT SNCB ""HESBAYE CONDROZ""-COTE AVAL. A ENVIRON 450M EN AMONT DU PONT-ROUTE ""CENTRE VILLE"" SUR LA MEUSE. RIVE DROITE.

voir avec7139 US huy offset -68.0 voir andenne aval",---,Meuse aval / MA,Meuse moyenne (NA),Navigable,,,,,,,,,,,,,,,
249442010,2026-06-05T10:35:00.000+02:00,,0.444,152096.0,100666.0,12498,Direction de la Gestion hydrologique,SILENRIEUX (BARRAGE),7831,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DGH,Hauteur,H,m,H,GN_STATION,DGH/7831/H/Cmd.Rel.Abs.Comp-Alarmes,Eau d'Heure,1993-07-19 00:00:00: <echX=0.2 cm/h><echY=1/5><zeroFeuille=0><limni=OTT X>,DGH,"78,46 km²",Cerfontaine,182.43,---,<echX=0.2 cm/h><echY=1/5><zeroFeuille=0.45><limni=OTT X>,,DGH,no,Direction de la Gestion hydrologique,-,10,District de la Meuse,District,Lefèvre C.,366260,7831,---,yes,743040000000,Eau d'Heure,Active,366260,1983-01-01 00:00:00: Active,Belgique,182.43,WALLONIE,Eau d'heure et affluents / 10,Limnimètre,Eau d'heure,NAMUR,1450355,"<ACCES>
RIVE GAUCHE - DANS LA CABINE DU DEVERSOIR DU BARRAGE Accès : au croisement entre rue de Beaupont et rue des Haies, prendre le chemin de service. CLE SPECIFIQUE.
</ACCES>

",---,Sambre / SA,Eau d'heure,Catégorie 2,,,,,,,,,,,,,,,
172435010,2026-06-05T10:00:00.000+02:00,,0.236,215043.0,91610.0,15081,Direction des Cours d'Eau Non Navigables,Forrières,L6310,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L6310/H/Cmd.Rel.Abs.Comp-Alarmes,Lhomme,,DCENN,"246,00 km²",,200.6,DNG,Mise en service,DNG,DCENN,yes,Station appartenant à la DCENN,-,27,District de la Meuse,District,,230210,L6310,---,yes,687744000000,Lhomme,Active,230210,1991-10-18 00:00:00: Active,Belgique,200.6,WALLONIE,Lhomme et affluents / 27,Limnimètre,Lhomme,LUXEMBOURG,1450443,,---,Lesse / LE,Lhomme,Catégorie 1,yes,District de la Meuse,6953,MEUSE,Stable,M,Forrières,Nassogne,Rue de la ramée,t0/Normal,Centre Namur,59/3,,,
162905010,2026-06-05T10:00:00.000+02:00,,0.379,111467.0,150313.0,14657,Direction des Cours d'Eau Non Navigables,Isières,L5420,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L5420/H/Cmd.Rel.Abs.Comp-Alarmes,Sille,,DCENN,"58,00 km²",,24.439,DNG,Mise en service,DNG,DCENN,yes,Station appartenant à la DCENN,-,3,District de l'Escaut,District,,983300,L5420,---,yes,1771891200000,Sille,Active,983300,1972-02-17 00:00:00: Active,Belgique,24.439,WALLONIE,Dendre et affluents / 3,Limnimètre,Dendre,HAINAUT,1450655,,---,Dendre / DE,Dendre,Catégorie 1,yes,District de l'Escaut,7822,ESCOUT,Très stable,E,Isières,Ath,Chemin Placquerie,t0/Normal,Centre Mons,38/2,,,
174439010,2026-06-05T10:20:00.000+02:00,,0.372,197782.0,146460.0,15173,Direction des Cours d'Eau Non Navigables,Ambresin,L6470,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L6470/H/Cmd.Rel.Abs.Comp-Alarmes,Mehaigne,,DCENN,"194,72 km²",,123.363,DNG,Mise en service,DNG,DCENN,yes,Station appartenant à la DCENN,-,36,District de la Meuse,District,,451230,L6470,---,yes,693100800000,Mehaigne,Active,451230,1991-12-19 00:00:00: Active,Belgique,123.363,WALLONIE,Mehaigne et affluents / 36,Limnimètre,Mehaigne,LIEGE,1450463,,---,Meuse aval / MA,Mehaigne,Catégorie 1,yes,District de la Meuse,4219,MEUSE,Stable,M,Ambresin,Wasseiges,Allée des Charmes,t0/Normal,Centre Liège,41/5,,,
240978010,2026-06-05T10:35:00.000+02:00,,0.673,227337.0,116315.0,12133,Direction de la Gestion hydrologique,DURBUY,5953,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DGH,Hauteur,H,m,H,GN_STATION,DGH/5953/H/Cmd.Rel.Abs.Comp-Alarmes,Ourthe moyenne,,DGH,"1214,75 km²",Durbuy,141.976,DNG,<limni=OTT X>,DNG,DGH,no,Direction de la Gestion hydrologique,-,44,District de la Meuse,District,Smiejkowski M.,,5953,---,yes,1655251200000,Ourthe moyenne,Active,,1992-11-25 00:00:00: Active<br>1994-04-22 00:00:00: Inactive<br>1994-12-15 00:00:00: Active,Belgique,141.976,WALLONIE,Ourthe moyenne et affluents / 44,Limnimètre,Ourthe moyenne,LUXEMBOURG,1450731,"<SITUATION>
EN RIVE DROITE-A ENVIRON 50M AMONT PONT-ROUTE A DURBUY SUR N833.
SITUE AU PIED DU CHATEAU RUE DU COMTE TH. D URSEL. ACCES VIA LA PLACE AUX FOIRES.
</SITUATION>


<HISTORIQUE>
19921125-19931212
Un SEBA a été installé à l’amont du pont, en rive droite, au pied d’une rampe bétonnée qui n’existe plus, face à la petite place au pied du château d’Ursel, derrière les hôtels. 
Le puits du limnigraphe n’était pas alimenté en permanence par la rivière et ne pouvait enregistrer que des hauteurs de crue. 
Quelques hauteurs sont enregistrées pendant cette période ; par contre aucun jaugeage n’est effectué et dès lors, il n’y a pas de débit pour cette époque.

19931212-19940422
Suite aux travaux deréalisation d’un mur anti-inondation en rive droite, le SEBA est déplacé au pied d’un escalier qui se trouvait en rive droite à l’aval du pont (quasi à côté de celui-ci). 
Cet escalier n'existe plus. L’appareil n’est pas alimenté en permanence et ne sert qu’en crue. Quelques hauteurs sont enregistrées ; aucun débit ne sera calculé pour cette époque.

19940422-19941215
La station sera inexploitée suite aux travaux en rive droite.

19941215- ...
L’appareil est installé de manière définitive au pied du rocher du château d’Ursel, non loin de la première installation, en rive droite, à l'amont du pont.
</HISTORIQUE>



",---,Ourthe / OU,Ourthe moyenne,Navigable,,,,,,,,,,,,,,,
194138010,2026-06-05T10:40:00.000+02:00,,0.505,159688.0,157883.0,15971,Direction des Cours d'Eau Non Navigables,La Hulpe,L8000,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L8000/H/Cmd.Rel.Abs.Comp-Alarmes,Argentine,,DCENN,"13,07 km²",,9999.0,DNG,"Station déplacée, des quelques dizaines de mètres vers l'aval.
Anciennes coordonnées (LB72 : X=159596, Y=157910).
Cause : très nombreuses algues, courbe de tarage impossible à établir à l'ancien emplacement.",DNG,DCENN,no,Station appartenant à la Province du Brabant Wallon,-,6,District de l'Escaut,District,,821311,L8000,---,yes,1650412800000,Argentine,Active,821311,2016-03-01 00:00:00: Active<br>2022-05-18 00:00:00: Active,Belgique,9999.0,WALLONIE,Dyle et affluents / 6,Limnimètre,Dyle,BRABANT WALLON,1450271,,---,Dyle-Gette / DG,Dyle,Catégorie 2,yes,District de l'Escaut,1310,ESCOUT,t0/?,E,La Hulpe,La Hulpe,Rue du Cerf,t0/Normal,,39/4N,,,
167297010,2026-06-05T10:00:00.000+02:00,,0.272,252201.0,137368.0,14856,Direction des Cours d'Eau Non Navigables,Theux,L5860,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L5860/H/Cmd.Rel.Abs.Comp-Alarmes,Hoegne,,DCENN,"189,00 km²",,0.0,DNG,"Station réinstallée (passerelle réparée)
Entre 2021 et 2024, voir la station L5861 Hoegne",DNG,DCENN,yes,Station appartenant à la DCENN,-,38,District de la Meuse,District,,554240,L5860,---,yes,1750762800000,Hoegne,Active,554240,1979-02-01 00:00:00: Active<br>2021-07-16 00:00:00: Closed<br>2024-10-24 16:00:00: Active,Belgique,0.0,WALLONIE,Vesdre et affluents / 38,Limnimètre,Vesdre,LIEGE,1450423,,---,Vesdre / VE,Vesdre,Catégorie 1,yes,District de la Meuse,4910,MEUSE,Très stable,M,Theux,Theux,Rue des Villas,t0/Normal,Centre Liège,49/4,,,
256264010,2026-06-05T10:35:00.000+02:00,,0.938,277320.0,98989.0,12825,Direction de la Gestion hydrologique,REULAND,9914,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DGH,Hauteur,H,m,H,GN_STATION,DGH/9914/H/Cmd.Rel.Abs.Comp-Alarmes,Our,2017-01-01 00:00:00: <fin_feuille_limni><br>1996-04-03 00:00:00: <limni=OTT X>,DGH,"356,87 km²",Burg-Reuland,344.257,---,<limni=OTT X43>,,DGH,yes,Direction de la Gestion hydrologique,-,42,District du Rhin,District,Smiejkowski M.,501200,9914,---,yes,-86745600000,Our,Active,501200,1967-04-03 00:00:00: Active,Belgique,344.257,WALLONIE,Our et affluents / 42,Limnimètre,Our,LIEGE,1450493,"SITUATION 99141011
AU PONT DE WEVELER, A ENVIRON 2 KM DE REULAND, SUR LA ROUTE DE REULAND A LUTZKAM PEN. FACE AU POSTE DES DOUANES. RIVE DROITE.

<TARAGE>
20250708 - Résilience crue
Hauteur max de la CT portée arbitrairement de 3m à 4m
</TARAGE>",---,Moselle / ML,Our,Catégorie 1,,,,,,,,,,,,,,,
240019010,2024-11-30T16:30:00.000+01:00,,0.949,237559.0,145592.0,12099,Direction de la Gestion hydrologique,ANGLEUR GR BAT. Av,5804,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DGH,Hauteur,H,m,H,GN_STATION,DGH/5804/H/Cmd.Rel.Abs.Comp-Alarmes,Ourthe inférieure,2007-06-07 00:00:00: <echX=0.2 cm/h><echY=1/10><limni=OTT X>,DGH,,Liège,59.8,DNG,,DNG,DGH,no,Direction de la Gestion hydrologique,-,43,District de la Meuse,District,Smiejkowski M.,,5804,---,yes,915148800000,Ourthe inférieure,Closed,,1969-01-16 00:00:00: Active<br>2024-11-30 23:59:59: Closed,Belgique,59.8,WALLONIE,Ourthe inférieure et affluents / 43,Limnimètre,Ourthe inférieure,LIEGE,1450733,"<ACCES>
A +/- 250M EN AVAL DU BARRAGE DES GROSSES BATTES - RIVE GAUCHE
en face du bâtiment de l'ex Office de navigation
</ACCES>",---,Ourthe / OU,Ourthe inférieure,Navigable,,,,,,,,,,,,,,,
