station_no,station_name,site_name,stationparameter_name,ts_path,ts_unitsymbol,river_name,BASSIN_INFOCRUE,BASSIN_GESTION_TEXT,station_local_x,station_local_y,station_elevation,station_status,CATCHMENT_SIZE,ts_id
7141,HUY,Direction de la Gestion hydrologique,Hauteur,DGH/7141/H/Cmd.Rel.Abs.Comp-Alarmes,m,Meuse moyenne,Meuse moyenne / 33,Meuse moyenne (NA),211378.0,134318.0,,Active,,246052010
L6470,Ambresin,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L6470/H/Cmd.Rel.Abs.Comp-Alarmes,m,Mehaigne,Mehaigne et affluents / 36,Mehaigne,197782.0,146460.0,,Active,"194,72 km²",174439010
L5860,Theux,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L5860/H/Cmd.Rel.Abs.Comp-Alarmes,m,Hoegne,Vesdre et affluents / 38,Vesdre,252201.0,137368.0,,Active,"189,00 km²",167297010
9914,REULAND,Direction de la Gestion hydrologique,Hauteur,DGH/9914/H/Cmd.Rel.Abs.Comp-Alarmes,m,Our,Our et affluents / 42,Our,277320.0,98989.0,,Active,"356,87 km²",256264010
5804,ANGLEUR GR BAT. Av,Direction de la Gestion hydrologique,Hauteur,DGH/5804/H/Cmd.Rel.Abs.Comp-Alarmes,m,Ourthe inférieure,Ourthe inférieure et affluents / 43,Ourthe inférieure,237559.0,145592.0,,Closed,,240019010
L7500,Limont,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L7500/H/Cmd.Rel.Abs.Comp-Alarmes,m,Yerne,Geer et affluents / 37,Geer,216892.0,150178.0,,Active,"28,14 km²",187956010
L7670,La Gleize,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L7670/H/Cmd.Rel.Abs.Comp-Alarmes,m,Amblève,Amblève et affluents / 41,Amblève,255524.0,122167.0,,Active,"776,12 km²",190280010
7244,HUCCORGNE,Direction de la Gestion hydrologique,Hauteur,DGH/7244/H/Cmd.Rel.Abs.Comp-Alarmes,m,Mehaigne,Mehaigne et affluents / 36,Mehaigne,206601.0,139948.0,,Active,"305,10 km²",246629010
L6660,Sippenaeken,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L6660/H/Cmd.Rel.Abs.Comp-Alarmes,m,Gueule,Affluents de la Basse Meuse / 30,Gueule,260928.0,161171.0,,Active,"121,00 km²",176655010
L5630,Hamoir,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L5630/H/Cmd.Rel.Abs.Comp-Alarmes,m,Néblon,Ourthe moyenne et affluents / 44,Ourthe moyenne,231494.0,124110.0,,Active,"76,00 km²",165377010
6387,EUPEN,Direction de la Gestion hydrologique,Hauteur,DGH/6387/H/Cmd.Rel.Abs.Comp-Alarmes,m,Vesdre,Vesdre et affluents / 38,Vesdre,268078.442,147118.802,,Active,,242514010
6353,DOLHAIN,Direction de la Gestion hydrologique,Hauteur sonde,DGH/6353/H_sonde/Cmd.Rel.Abs.Comp-Alarmes,m,Vesdre,Vesdre et affluents / 38,,261562.768,145782.416,,Active,,379300010
L6080,Reuland,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L6080/H/Cmd.Rel.Abs.Comp-Alarmes,m,Ulf,Our et affluents / 42,Our,277217.0,99906.0,,Active,"57,00 km²",169941010
5447,LIXHE Bief Amont,Direction de la Gestion hydrologique,Hauteur,DGH/5447/H/Cmd.Rel.Abs.Comp-Alarmes,m,Basse Meuse,Basse Meuse / 31,Basse Meuse (NA),243197.0,160314.0,,Active,,238955010
L7870,Marchin (bis),Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L7870/H/Cmd.Rel.Abs.Comp-Alarmes,m,Hoyoux,Hoyoux et affluents / 35,Hoyoux,211748.0,132797.0,,Active,"248,83 km²",192542010
L6090,Lommersweiler,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L6090/H/Cmd.Rel.Abs.Comp-Alarmes,m,Die Braunlauf,Our et affluents / 42,Our,277350.0,104134.0,,Active,"64,00 km²",170065010
L7600,Foret,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L7600/H/Cmd.Rel.Abs.Comp-Alarmes,m,Ruisseau des Fonds de Forêt,Vesdre et affluents / 38,Vesdre,242555.0,142596.0,,Active,"39,79 km²",189428010
L6461,Marneffe,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L6461/H/Cmd.Rel.Abs.Comp-Alarmes,m,Burdinale,Mehaigne et affluents / 36,Mehaigne,205042.0,140746.0,,Active,"26,78 km²",174315010
L5990,Marchin,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L5990/H/Cmd.Rel.Abs.Comp-Alarmes,m,Hoyoux,Hoyoux et affluents / 35,Hoyoux,212846.0,131678.0,,Active,"239,00 km²",168423010
6832,TROIS-PONTS,Direction de la Gestion hydrologique,Hauteur,DGH/6832/H/Cmd.Rel.Abs.Comp-Alarmes,m,Salm,Amblève et affluents / 41,Amblève,257242.0,118075.0,,Active,"198,85 km²",244279010
6991,MALMEDY  Warchenne,Direction de la Gestion hydrologique,Hauteur,DGH/6991/H/Cmd.Rel.Abs.Comp-Alarmes,m,Warchenne,Amblève et affluents / 41,Amblève,268278.0,124997.0,,Active,"30,45 km²",245004010
7137,AMPSIN Bief Amont,Direction de la Gestion hydrologique,Hauteur,DGH/7137/H/Cmd.Rel.Abs.Comp-Alarmes,m,Meuse moyenne,Meuse moyenne / 33,Meuse moyenne (NA),215216.0,136486.0,,Active,"16416,26 km²",245773010
5811,STREUPAS,Direction de la Gestion hydrologique,Hauteur sonde,DGH/5811/H_sonde/Cmd.Rel.Abs.Comp-Alarmes,m,Ourthe inférieure,Ourthe inférieure et affluents / 43,Ourthe inférieure,237626.0,144478.0,,Active,,240333010
5291,KELMIS (LA CALAMINE),Direction de la Gestion hydrologique,Hauteur,DGH/5291/H/Cmd.Rel.Abs.Comp-Alarmes,m,Gueule,Affluents de la Basse Meuse / 30,Gueule,265341.0,156616.0,,Inactive,,238670010
6671,TARGNON,Direction de la Gestion hydrologique,Hauteur,DGH/6671/H/Cmd.Rel.Abs.Comp-Alarmes,m,Amblève,Amblève et affluents / 41,Amblève,250013.0,123454.0,,Active,"806,85 km²",243520010
L6040,Grandville,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L6040/H/Cmd.Rel.Abs.Comp-Alarmes,m,Yerne,Geer et affluents / 37,Geer,218889.0,156963.0,,Active,"62,30 km²",169445010
6228,CHAUDFONTAINE Pisc,Direction de la Gestion hydrologique,Hauteur,DGH/6228/H/Cmd.Rel.Abs.Comp-Alarmes,m,Vesdre,Vesdre et affluents / 38,Vesdre,240980.0,142873.0,,Active,"683,26 km²",242295010
6651,REMOUCHAMPS,Direction de la Gestion hydrologique,Hauteur,DGH/6651/H/Cmd.Rel.Abs.Comp-Alarmes,m,Amblève,Amblève et affluents / 41,Amblève,245200.0,130754.0,,Active,,243391010
L6510,Stavelot,Direction des Cours d'Eau Non Navigables,Hauteur,DCENN/L6510/H/Cmd.Rel.Abs.Comp-Alarmes,m,Amblève,Amblève et affluents / 41,Amblève,257828.0,119661.0,,Active,"491,63 km²",174883010
